Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2017,1,San Juan,576,"2.260,00"
2017,1,San Luis,1.172,"4.096,00"
2017,1,Santa Cruz,1.500,"5.040,00"
2017,1,Santa Fe,1.750,"5.565,00"
2017,1,Santiago del Estero,1.033,"4.161,00"
2017,1,Tierra del Fuego,2.431,"8.197,00"
2017,1,Tucumán,769,"3.105,00"
2016,4,Buenos Aires,1.506,"4.941,00"
2016,4,Capital Federal,2.329,"6.133,00"
2016,4,Catamarca,752,"2.958,00"
2016,4,Chaco,765,"2.863,00"
2016,4,Chubut,1.259,"4.114,00"
2016,4,Córdoba,2.798,"9.148,00"
2016,4,Corrientes,865,"3.288,00"
2016,4,Entre Ríos,1.168,"3.911,00"
2016,4,Formosa,792,"3.113,00"
2016,4,Jujuy,1.110,"4.344,00"
2016,4,La Pampa,2.905,"8.824,00"
2016,4,La Rioja,690,"2.594,00"
2016,4,Mendoza,613,"2.200,00"
2016,4,Misiones,1.023,"3.760,00"
2016,4,Neuquén,1.762,"5.926,00"
2016,4,Río Negro,762,"2.480,00"
2016,4,Salta,1.279,"5.287,00"
2016,4,San Juan,533,"2.095,00"
2016,4,San Luis,1.125,"3.937,00"
2016,4,Santa Cruz,1.545,"5.204,00"
2016,4,Santa Fe,1.801,"5.733,00"
2016,4,Santiago del Estero,1.045,"4.214,00"
2016,4,Tierra del Fuego,2.473,"8.359,00"
